Item Number,Item Name,Department,Selling Price,Quantity
1,901 PVC,PVC,4500,
2,902 PVC,PVC,4500,2
3,903 PVC,PVC,4500,3
4,904 PVC,PVC,4500,4
5,904+ PVC,PVC,4500,5
6,906 PVC,PVC,4500,6
7,007 PVC,PVC,2500,7
8,901 Cornices,Cornices,250,8
9,902 Cornices,Cornices,250,9
10,903 Cornices,Cornices,250,10
11,904 Cornices,Cornices,250,11
12,904+ Cornices,Cornices,250,12
13,007 Cornices,Cornices,170,13
14,906 Cornices,Cornices,250,14
15,Hada Gypsum Board,Gypsum,800,
16,Blueswan Gypsum Board ,Gypsum,750,15
17,Channels,Gypsum,150,16
18,Studs ,Gypsum,150,17
19,gypsum Cornice,Gypsum,110,18
20,Fibre Cornice,Gypsum,550,19
21,gypsum Fibre Cornice,,,
22,Gypsum Screws,Gypsum,700,20
23,Fibre Tape,Gypsum,400,21
24,Corner Tape,Gypsum,1000,22
25,Gypsum reject,Gypsum,500,23
26,Marine Board,Boards,2200,24
27,Block Board,Boards,2700,25
28,Ply Wood ,Boards,450,26
29,6 Ply,Boards,1100,27
30,9 Ply,Boards,1750,28
31,Laminated Ply,Boards,1400,29
32,Ceiling board Plain,Boards,1000,30
33,Ceiling board design,Boards,1000,31
34,White MDF,Boards,3350,32
35,White Chipboard,Boards,3200,
36,Cherry MDF,Boards,3350,33
37,Cherry Chipboard,Boards,3200,
38,Beech MDF,Boards,3350,34
39,Beech Chipboard,Boards,3200,
40,Coimbra MDF,Boards,3350,35
41,Coimbra Chipboard,Boards,3200,
42,Amaya MDF,Boards,3350,36
43,Amaya Chipboard,Boards,3200,
44,A. wallnut MDF,Boards,3350,37
45,A. wallnut Chipboard,Boards,3200,
46,K 129 MDF,Boards,3350,38
47,K 129 Chipboard,Boards,3200,
48,Versatile Oak MDF,Boards,3350,39
49,Versatile Chipboard,Boards,3200,
50,Light Grey MDF,Boards,3350,
51,Light Grey Chipboard,Boards,3200,
52,Black Grey MDF,Boards,3350,
53,Black Grey Chipboard,Boards,3200,
54,Dark Grey MDF,Boards,3350,
55,Dark Grey Chipboard,Boards,3200,
56,Royal teak MDF,Boards,3350,
57,Royal teak Chipboard,Boards,3200,
58,White oak MDF,Boards,3350,
59,White oak Chipboard,Boards,3200,
60,Savina Mat MDF,Boards,3350,
61,Savina Mat Chipboard,Boards,3200,
62,Stoney Grey MDF,Boards,3350,
63,Stoney Grey Chipboard,Boards,3200,
64,Honey Bee MDF,Boards,3350,
65,Honey Bee Chipboard,Boards,3200,
66,White Cherry MDF,Boards,3350,
67,White Cherry Chipboard,Boards,3200,
68,Black Cherry MDF,Boards,3350,
69,Black Cherry Chipboard,Boards,3200,
70,NC Varnish 1L,,700,
71,NC Varnish 1/2 L,,400,
72,Sanding Varnish 4L,,2500,
73,Sanding Varnish 1L,,750,
74,Clear Varnish 4L,,2400,
75,Clear Varnish 1L,,700,
76,Chupa varnish 1L,,600,
77,Chupa varnish 1/2L,,300,
78,4L SG1 supergloss Duracoat,Paint,,
79,4L SG2 supergloss Duracoat,Paint,,13
80,4L SG3 supergloss Duracoat,Paint,,3
81,4L SG4 supergloss Duracoat,Paint,,3
82,4L SG5 supergloss Duracoat,Paint,,2
83,4L SG6 supergloss Duracoat,Paint,,6
84,4L SGYLW supergloss Duracoat,Paint,,6
85,4L Brilliant white supergloss Duracoat,Paint,,5
86,4L Gunmetal supergloss Duracoat,Paint,,2
87,1L SG1 supergloss Duracoat,Paint,,12
88,1L SG2 supergloss Duracoat,Paint,,7
89,1L SG3 supergloss Duracoat,Paint,,10
90,1L SG4 supergloss Duracoat,Paint,,7
91,1L SG5 supergloss Duracoat,Paint,,10
92,1L SG6 supergloss Duracoat,Paint,,7
93,1L SGYLW supergloss Duracoat,Paint,,2
94,1L Brilliant white supergloss Duracoat,Paint,,16
95,1L Gunmetal supergloss Duracoat,Paint,,3
96,1L Mahogany Mist supergloss Duracoat,Paint,,
97,4L RF BLUE Roof paint Duracoat,Paint,,1
98,4L RED Floorpaint Duracoat,Paint,,1
99,4L White Universal Undercoat Duracoat,Paint,,5
100,1L White Universal Undercoat Duracoat,Paint,,2
101,5Kg Dr. Fixit Sure Seal,Paint,,15
102,1Kg Dr. Fixit Sure Seal,Paint,,10
103,4L VM1 Vinly matt deluxe Duracoat,Paint,2400,4
104,4L VM2 Vinly matt deluxe Duracoat,Paint,2400,
105,4L VM3 Vinly matt deluxe Duracoat,Paint,2400,
106,4L VM4 Vinly matt deluxe Duracoat,Paint,2400,7
107,4L VM5 Vinly matt deluxe Duracoat,Paint,2400,6
108,4L Brilliant white Vinly matt deluxe Duracoat,Paint,2400,
109,4L VMYLW Vinly matt deluxe Duracoat,Paint,2400,
110,4L VMYOX Vinly matt deluxe Duracoat,Paint,2400,
111,1L VM1 Vinly matt deluxe Duracoat,Paint,750,9
112,1L VM2 Vinly matt deluxe Duracoat,Paint,750,4
113,1L VM3 Vinly matt deluxe Duracoat,Paint,750,15
114,1L VM4 Vinly matt deluxe Duracoat,Paint,750,8
115,1L VM5 Vinly matt deluxe Duracoat,Paint,750,4
116,1L Brilliant white Vinly matt deluxe Duracoat,Paint,750,12
117,1L VMYLW Vinly matt deluxe Duracoat,Paint,750,7
118,1L VMYOX Vinly matt deluxe Duracoat,Paint,750,6
